PERIODO,ESTU_DEPTO_RESIDE,ESTU_PRGM_ACADEMICO,ESTU_HORASSEMANATRABAJA,ESTU_GENERO,ESTU_PAGOMATRICULAPROPIO,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT,AGE,PUNT_GLOBAL,RENDIMIENTO
2021,BOGOTÁ,INGENIERIA EN  TELECOMUNICACIONES,Más de 30 horas,M,No,Primaria completa,Si,Si,Estrato 1,Si,Si,Secundaria (Bachillerato) incompleta,197,178.0,145,159.0,165,24.0,168.8,Medio
2021,BOGOTÁ,INGENIERIA EN CONTROL Y AUTOMATIZACIÓN,Más de 30 horas,M,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 1,Si,Si,Secundaria (Bachillerato) incompleta,166,160.0,151,166.0,159,27.0,160.4,Medio
2021,BOGOTÁ,INGENIERIA CIVIL,Más de 30 horas,M,Si,Educación profesional completa,Si,Si,Estrato 3,Si,Si,Educación profesional incompleta,201,120.0,169,191.0,196,25.0,175.4,Medio
2021,BOGOTÁ,INGENIERIA ELECTRONICA,0,M,No,Técnica o tecnológica completa,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,203,174.0,162,190.0,196,23.0,185.0,Alto
2018,BOGOTÁ,ARTE DANZARIO,Entre 11 y 20 horas,F,Si,Técnica o tecnológica completa,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,149,124.0,179,136.0,143,22.0,146.2,Medio
2018,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INGLES,Más de 30 horas,F,Si,Secundaria (Bachillerato) completa,No,No,Estrato 2,Si,Si,Técnica o tecnológica completa,132,100.0,112,201.0,118,22.0,132.6,Medio
2018,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INGLES,Entre 11 y 20 horas,F,No,Secundaria (Bachillerato) completa,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,168,172.0,166,206.0,141,22.0,170.6,Medio
2018,BOGOTÁ,LICENCIATURA EN PEDAGOGIA INFANTIL,0,F,No,Primaria completa,No,No,Estrato 1,Si,No,Primaria incompleta,119,173.0,165,151.0,175,22.0,156.6,Medio
2018,BOGOTÁ,INGENIERIA INDUSTRIAL,0,F,No,Primaria incompleta,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) incompleta,189,202.0,170,168.0,197,23.0,185.2,Alto
2018,BOGOTÁ,INGENIERIA DE PRODUCCION,Más de 30 horas,F,Si,Secundaria (Bachillerato) completa,Si,Si,Estrato 3,Si,Si,Primaria incompleta,194,181.0,194,156.0,194,29.0,183.8,Alto
